scientific_name;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution;common_name
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;;Bengal hanuman langur
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;; Common Langur
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;; Entellus Langur
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;; Grey Langur
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;; Hanuman Langur
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;; Northern plains gray langur
Struthio camelus;56181.0;35;622000;1;Animalia;Aves;Struthioniformes;Struthionidae;Struthio;camelus;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Djibouti,Egypt,Eritrea,Ethiopia,Kenya,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Algeria,Bahrain,Burkina Faso,Iraq,Israel,Jordan,Kuwait,Libya,Morocco,Oman,Saudi Arabia,Tunisia;Common ostrich
Struthio camelus;56181.0;35;622000;1;Animalia;Aves;Struthioniformes;Struthionidae;Struthio;camelus;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Djibouti,Egypt,Eritrea,Ethiopia,Kenya,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Algeria,Bahrain,Burkina Faso,Iraq,Israel,Jordan,Kuwait,Libya,Morocco,Oman,Saudi Arabia,Tunisia; Ostrich
Crocodylus cataphractus;46795.0;12;18200;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;cataphractus;I;Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Mauritania,Nigeria,Senegal,Sierra Leone,Togo,United Republic of Tanzania,Zambia;;African Sharp-nosed Crocodile
Crocodylus cataphractus;46795.0;12;18200;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;cataphractus;I;Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Mauritania,Nigeria,Senegal,Sierra Leone,Togo,United Republic of Tanzania,Zambia;; African Slender-snouted Crocodile
Crocodylus cataphractus;46795.0;12;18200;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;cataphractus;I;Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Mauritania,Nigeria,Senegal,Sierra Leone,Togo,United Republic of Tanzania,Zambia;; Long-snouted Crocodile
Chelonoidis niger;36485.0;30;23500;0;Animalia;Reptilia;Testudines;Testudinidae;Chelonoidis;niger;I;Ecuador;; Floreana giant tortoise
Chelonoidis niger;36485.0;30;23500;0;Animalia;Reptilia;Testudines;Testudinidae;Chelonoidis;niger;I;Ecuador;; Galapagos Giant Tortoise
Varanus komodoensis;32629.0;36;324000;1;Animalia;Reptilia;Sauria;Varanidae;Varanus;komodoensis;I;Indonesia;;Komodo Dragon
Varanus komodoensis;32629.0;36;324000;1;Animalia;Reptilia;Sauria;Varanidae;Varanus;komodoensis;I;Indonesia;; Komodo Monitor
Varanus komodoensis;32629.0;36;324000;1;Animalia;Reptilia;Sauria;Varanidae;Varanus;komodoensis;I;Indonesia;; Ora
Panthera leo;28213.0;84;2490000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;leo;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Eswatini,Ethiopia,Guinea,India,Kenya,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Afghanistan,Algeria,Burundi,Congo,Djibouti,Egypt,Eritrea,Gabon,Gambia,Greece,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kuwait,Lebanon,Lesotho,Libya,Mauritania,Morocco,Pakistan,Rwanda,Saudi Arabia,Sierra Leone,Syrian Arab Republic,Tunisia,Turkey,Western Sahara;African lion
Panthera leo;28213.0;84;2490000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;leo;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Eswatini,Ethiopia,Guinea,India,Kenya,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Afghanistan,Algeria,Burundi,Congo,Djibouti,Egypt,Eritrea,Gabon,Gambia,Greece,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kuwait,Lebanon,Lesotho,Libya,Mauritania,Morocco,Pakistan,Rwanda,Saudi Arabia,Sierra Leone,Syrian Arab Republic,Tunisia,Turkey,Western Sahara; Asiatic Lion
Panthera leo;28213.0;84;2490000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;leo;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Eswatini,Ethiopia,Guinea,India,Kenya,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Afghanistan,Algeria,Burundi,Congo,Djibouti,Egypt,Eritrea,Gabon,Gambia,Greece,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kuwait,Lebanon,Lesotho,Libya,Mauritania,Morocco,Pakistan,Rwanda,Saudi Arabia,Sierra Leone,Syrian Arab Republic,Tunisia,Turkey,Western Sahara; Indian Lion
Panthera leo;28213.0;84;2490000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;leo;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Eswatini,Ethiopia,Guinea,India,Kenya,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Afghanistan,Algeria,Burundi,Congo,Djibouti,Egypt,Eritrea,Gabon,Gambia,Greece,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kuwait,Lebanon,Lesotho,Libya,Mauritania,Morocco,Pakistan,Rwanda,Saudi Arabia,Sierra Leone,Syrian Arab Republic,Tunisia,Turkey,Western Sahara; Lion
Elephas maximus;25601.0;43;753000;1;Animalia;Mammalia;Proboscidea;Elephantidae;Elephas;maximus;I;Bangladesh,Bhutan,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Sri Lanka,Thailand,Viet Nam;;Asian Elephant
Elephas maximus;25601.0;43;753000;1;Animalia;Mammalia;Proboscidea;Elephantidae;Elephas;maximus;I;Bangladesh,Bhutan,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Sri Lanka,Thailand,Viet Nam;; Indian Elephant
Gorilla gorilla;23557.0;56;1250000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;gorilla;I;Angola,Cameroon,Central African Republic,Congo,Equatorial Guinea,Gabon,Nigeria;;Gorilla
Gorilla gorilla;23557.0;56;1250000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;gorilla;I;Angola,Cameroon,Central African Republic,Congo,Equatorial Guinea,Gabon,Nigeria;; Lowland gorilla
Gorilla gorilla;23557.0;56;1250000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;gorilla;I;Angola,Cameroon,Central African Republic,Congo,Equatorial Guinea,Gabon,Nigeria;; Western Gorilla
Diceros bicornis;23328.0;27;219000;1;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Diceros;bicornis;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Eritrea,Ethiopia,Kenya,Malawi,Mozambique,Namibia,Somalia,South Africa,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Burundi,Côte d'Ivoire,Democratic Republic of the Congo,Niger,Nigeria;Black Rhinoceros
Diceros bicornis;23328.0;27;219000;1;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Diceros;bicornis;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Eritrea,Ethiopia,Kenya,Malawi,Mozambique,Namibia,Somalia,South Africa,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Burundi,Côte d'Ivoire,Democratic Republic of the Congo,Niger,Nigeria; Hook-lipped Rhinoceros
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland;Arctic wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Common Wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Gray wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Grey Wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Mexican wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Plains wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Timber Wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Tundra wolf
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland; Wolf
Gorilla beringei;18142.0;79;233000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;beringei;I;Democratic Republic of the Congo,Rwanda,Uganda;;Eastern Gorilla
Gorilla beringei;18142.0;79;233000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;beringei;I;Democratic Republic of the Congo,Rwanda,Uganda;; Mountain Gorilla
Rhinoplax vigil;17909.0;48;33500;0;Animalia;Aves;Coraciiformes;Bucerotidae;Rhinoplax;vigil;I;Brunei Darussalam,Indonesia,Malaysia,Myanmar,Thailand;Singapore;Helmeted Hornbill
Pudu puda;17298.0;17;31700;0;Animalia;Mammalia;Artiodactyla;Cervidae;Pudu;puda;I;Argentina,Chile;; Southern Pudu
Pudu puda;17298.0;17;31700;0;Animalia;Mammalia;Artiodactyla;Cervidae;Pudu;puda;I;Argentina,Chile;;Chilean Pudu
Manis crassicaudata;17161.0;51;30800;0;Animalia;Mammalia;Pholidota;Manidae;Manis;crassicaudata;I;Bangladesh,China,India,Nepal,Pakistan,Sri Lanka;;Indian Pangolin
Manis crassicaudata;17161.0;51;30800;0;Animalia;Mammalia;Pholidota;Manidae;Manis;crassicaudata;I;Bangladesh,China,India,Nepal,Pakistan,Sri Lanka;; Thick-tailed Pangolin
Piliocolobus kirkii;17083.0;10;13900;0;Animalia;Mammalia;Primates;Cercopithecidae;Piliocolobus;kirkii;I;United Republic of Tanzania;; Kirk's Red Colobus
Piliocolobus kirkii;17083.0;10;13900;0;Animalia;Mammalia;Primates;Cercopithecidae;Piliocolobus;kirkii;I;United Republic of Tanzania;; Zanzibar Red Colobus
Perameles bougainville;17079.0;91;14600;0;Animalia;Mammalia;Peramelemorphia;Peramelidae;Perameles;bougainville;I;Australia;;Barred Bandicoot
