;title;views;scientific_name;datetime
57;Sperm whale;76141;Physeter macrocephalus;2020-04-01
58;Sperm whale;73073;Physeter macrocephalus;2020-05-01
59;Sperm whale;69988;Physeter macrocephalus;2020-06-01
60;Sperm whale;73881;Physeter macrocephalus;2020-07-01
61;Sperm whale;83691;Physeter macrocephalus;2020-08-01
62;Sperm whale;68992;Physeter macrocephalus;2020-09-01
63;Sperm whale;60086;Physeter macrocephalus;2020-10-01
64;Sperm whale;71452;Physeter macrocephalus;2020-11-01
65;Sperm whale;65716;Physeter macrocephalus;2020-12-01
66;Bornean orangutan;9737;Pongo pygmaeus;2015-07-01
67;Bornean orangutan;9734;Pongo pygmaeus;2015-08-01
68;Bornean orangutan;10486;Pongo pygmaeus;2015-09-01
69;Bornean orangutan;15156;Pongo pygmaeus;2015-10-01
70;Bornean orangutan;10920;Pongo pygmaeus;2015-11-01
71;Bornean orangutan;10242;Pongo pygmaeus;2015-12-01
72;Bornean orangutan;10861;Pongo pygmaeus;2016-01-01
73;Bornean orangutan;11725;Pongo pygmaeus;2016-02-01
74;Bornean orangutan;15365;Pongo pygmaeus;2016-03-01
75;Bornean orangutan;36753;Pongo pygmaeus;2016-04-01
76;Bornean orangutan;25240;Pongo pygmaeus;2016-05-01
77;Bornean orangutan;13444;Pongo pygmaeus;2016-06-01
78;Bornean orangutan;13015;Pongo pygmaeus;2016-07-01
79;Bornean orangutan;18104;Pongo pygmaeus;2016-08-01
80;Bornean orangutan;20932;Pongo pygmaeus;2016-09-01
81;Bornean orangutan;12618;Pongo pygmaeus;2016-10-01
82;Bornean orangutan;12250;Pongo pygmaeus;2016-11-01
83;Bornean orangutan;15889;Pongo pygmaeus;2016-12-01
84;Bornean orangutan;14588;Pongo pygmaeus;2017-01-01
85;Bornean orangutan;12620;Pongo pygmaeus;2017-02-01
86;Bornean orangutan;13189;Pongo pygmaeus;2017-03-01
87;Bornean orangutan;11978;Pongo pygmaeus;2017-04-01
88;Bornean orangutan;12442;Pongo pygmaeus;2017-05-01
89;Bornean orangutan;12780;Pongo pygmaeus;2017-06-01
90;Bornean orangutan;33729;Pongo pygmaeus;2017-07-01
91;Bornean orangutan;15018;Pongo pygmaeus;2017-08-01
92;Bornean orangutan;9034;Pongo pygmaeus;2017-09-01
93;Bornean orangutan;17478;Pongo pygmaeus;2017-10-01
94;Bornean orangutan;25672;Pongo pygmaeus;2017-11-01
95;Bornean orangutan;12647;Pongo pygmaeus;2017-12-01
96;Bornean orangutan;12416;Pongo pygmaeus;2018-01-01
97;Bornean orangutan;11721;Pongo pygmaeus;2018-02-01
98;Bornean orangutan;12784;Pongo pygmaeus;2018-03-01
99;Bornean orangutan;13560;Pongo pygmaeus;2018-04-01
100;Bornean orangutan;13695;Pongo pygmaeus;2018-05-01
101;Bornean orangutan;12032;Pongo pygmaeus;2018-06-01
102;Bornean orangutan;9884;Pongo pygmaeus;2018-07-01
103;Bornean orangutan;10803;Pongo pygmaeus;2018-08-01
104;Bornean orangutan;8702;Pongo pygmaeus;2018-09-01
105;Bornean orangutan;9536;Pongo pygmaeus;2018-10-01
106;Bornean orangutan;10208;Pongo pygmaeus;2018-11-01
107;Bornean orangutan;10542;Pongo pygmaeus;2018-12-01
108;Bornean orangutan;10430;Pongo pygmaeus;2019-01-01
109;Bornean orangutan;10259;Pongo pygmaeus;2019-02-01
110;Bornean orangutan;12343;Pongo pygmaeus;2019-03-01
111;Bornean orangutan;12982;Pongo pygmaeus;2019-04-01
112;Bornean orangutan;11183;Pongo pygmaeus;2019-05-01
113;Bornean orangutan;12699;Pongo pygmaeus;2019-06-01
114;Bornean orangutan;10732;Pongo pygmaeus;2019-07-01
115;Bornean orangutan;11698;Pongo pygmaeus;2019-08-01
116;Bornean orangutan;11696;Pongo pygmaeus;2019-09-01
117;Bornean orangutan;12013;Pongo pygmaeus;2019-10-01
118;Bornean orangutan;13823;Pongo pygmaeus;2019-11-01
119;Bornean orangutan;10452;Pongo pygmaeus;2019-12-01
120;Bornean orangutan;11878;Pongo pygmaeus;2020-01-01
121;Bornean orangutan;14657;Pongo pygmaeus;2020-02-01
122;Bornean orangutan;12242;Pongo pygmaeus;2020-03-01
123;Bornean orangutan;16066;Pongo pygmaeus;2020-04-01
124;Bornean orangutan;13654;Pongo pygmaeus;2020-05-01
125;Bornean orangutan;11019;Pongo pygmaeus;2020-06-01
126;Bornean orangutan;11365;Pongo pygmaeus;2020-07-01
127;Bornean orangutan;12720;Pongo pygmaeus;2020-08-01
128;Bornean orangutan;11869;Pongo pygmaeus;2020-09-01
129;Bornean orangutan;17535;Pongo pygmaeus;2020-10-01
130;Bornean orangutan;12730;Pongo pygmaeus;2020-11-01
131;Bornean orangutan;12132;Pongo pygmaeus;2020-12-01
132;Ocelot;56842;Leopardus pardalis;2015-07-01
133;Ocelot;57573;Leopardus pardalis;2015-08-01
134;Ocelot;64641;Leopardus pardalis;2015-09-01
135;Ocelot;71740;Leopardus pardalis;2015-10-01
136;Ocelot;61428;Leopardus pardalis;2015-11-01
137;Ocelot;58513;Leopardus pardalis;2015-12-01
138;Ocelot;60002;Leopardus pardalis;2016-01-01
139;Ocelot;60387;Leopardus pardalis;2016-02-01
140;Ocelot;62380;Leopardus pardalis;2016-03-01
141;Ocelot;61546;Leopardus pardalis;2016-04-01
142;Ocelot;87789;Leopardus pardalis;2016-05-01
143;Ocelot;55685;Leopardus pardalis;2016-06-01
144;Ocelot;50162;Leopardus pardalis;2016-07-01
145;Ocelot;50912;Leopardus pardalis;2016-08-01
146;Ocelot;54938;Leopardus pardalis;2016-09-01
147;Ocelot;53565;Leopardus pardalis;2016-10-01
148;Ocelot;58169;Leopardus pardalis;2016-11-01
149;Ocelot;57815;Leopardus pardalis;2016-12-01
150;Ocelot;62854;Leopardus pardalis;2017-01-01
151;Ocelot;53882;Leopardus pardalis;2017-02-01
152;Ocelot;58971;Leopardus pardalis;2017-03-01
153;Ocelot;57783;Leopardus pardalis;2017-04-01
154;Ocelot;57715;Leopardus pardalis;2017-05-01
155;Ocelot;47897;Leopardus pardalis;2017-06-01
156;Ocelot;51029;Leopardus pardalis;2017-07-01
157;Ocelot;51192;Leopardus pardalis;2017-08-01
158;Ocelot;43580;Leopardus pardalis;2017-09-01
159;Ocelot;46986;Leopardus pardalis;2017-10-01
160;Ocelot;47680;Leopardus pardalis;2017-11-01
161;Ocelot;48018;Leopardus pardalis;2017-12-01
162;Ocelot;64033;Leopardus pardalis;2018-01-01
163;Ocelot;47936;Leopardus pardalis;2018-02-01
164;Ocelot;50802;Leopardus pardalis;2018-03-01
165;Ocelot;46727;Leopardus pardalis;2018-04-01
166;Ocelot;48926;Leopardus pardalis;2018-05-01
167;Ocelot;38793;Leopardus pardalis;2018-06-01
168;Ocelot;42519;Leopardus pardalis;2018-07-01
169;Ocelot;40180;Leopardus pardalis;2018-08-01
170;Ocelot;36851;Leopardus pardalis;2018-09-01
171;Ocelot;41112;Leopardus pardalis;2018-10-01
172;Ocelot;40520;Leopardus pardalis;2018-11-01
173;Ocelot;44456;Leopardus pardalis;2018-12-01
174;Ocelot;48606;Leopardus pardalis;2019-01-01
175;Ocelot;47809;Leopardus pardalis;2019-02-01
176;Ocelot;43154;Leopardus pardalis;2019-03-01
177;Ocelot;43257;Leopardus pardalis;2019-04-01
178;Ocelot;45987;Leopardus pardalis;2019-05-01
179;Ocelot;39287;Leopardus pardalis;2019-06-01
180;Ocelot;41083;Leopardus pardalis;2019-07-01
181;Ocelot;43483;Leopardus pardalis;2019-08-01
182;Ocelot;42625;Leopardus pardalis;2019-09-01
183;Ocelot;46369;Leopardus pardalis;2019-10-01
184;Ocelot;43719;Leopardus pardalis;2019-11-01
185;Ocelot;38683;Leopardus pardalis;2019-12-01
186;Ocelot;53842;Leopardus pardalis;2020-01-01
187;Ocelot;47246;Leopardus pardalis;2020-02-01
188;Ocelot;54023;Leopardus pardalis;2020-03-01
189;Ocelot;86846;Leopardus pardalis;2020-04-01
190;Ocelot;54378;Leopardus pardalis;2020-05-01
191;Ocelot;43625;Leopardus pardalis;2020-06-01
192;Ocelot;46697;Leopardus pardalis;2020-07-01
193;Ocelot;44756;Leopardus pardalis;2020-08-01
194;Ocelot;46446;Leopardus pardalis;2020-09-01
195;Ocelot;52405;Leopardus pardalis;2020-10-01
196;Ocelot;44296;Leopardus pardalis;2020-11-01
197;Ocelot;42275;Leopardus pardalis;2020-12-01
198;Tree pangolin;1892;Manis tricuspis;2015-07-01
199;Tree pangolin;2431;Manis tricuspis;2015-08-01
200;Tree pangolin;2222;Manis tricuspis;2015-09-01
201;Tree pangolin;3031;Manis tricuspis;2015-10-01
202;Tree pangolin;4537;Manis tricuspis;2015-11-01
203;Tree pangolin;2734;Manis tricuspis;2015-12-01
204;Tree pangolin;2978;Manis tricuspis;2016-01-01
205;Tree pangolin;3021;Manis tricuspis;2016-02-01
206;Tree pangolin;3693;Manis tricuspis;2016-03-01
207;Tree pangolin;3630;Manis tricuspis;2016-04-01
208;Tree pangolin;3362;Manis tricuspis;2016-05-01
209;Tree pangolin;2568;Manis tricuspis;2016-06-01
210;Tree pangolin;2406;Manis tricuspis;2016-07-01
211;Tree pangolin;2981;Manis tricuspis;2016-08-01
212;Tree pangolin;3650;Manis tricuspis;2016-09-01
213;Tree pangolin;3550;Manis tricuspis;2016-10-01
214;Tree pangolin;3203;Manis tricuspis;2016-11-01
215;Tree pangolin;3595;Manis tricuspis;2016-12-01
216;Tree pangolin;3208;Manis tricuspis;2017-01-01
217;Tree pangolin;6927;Manis tricuspis;2017-02-01
218;Tree pangolin;3635;Manis tricuspis;2017-03-01
219;Tree pangolin;4523;Manis tricuspis;2017-04-01
220;Tree pangolin;3569;Manis tricuspis;2017-05-01
221;Tree pangolin;2447;Manis tricuspis;2017-06-01
222;Tree pangolin;2485;Manis tricuspis;2017-07-01
223;Tree pangolin;2319;Manis tricuspis;2017-08-01
224;Tree pangolin;2392;Manis tricuspis;2017-09-01
225;Tree pangolin;3040;Manis tricuspis;2017-10-01
226;Tree pangolin;2848;Manis tricuspis;2017-11-01
227;Tree pangolin;2438;Manis tricuspis;2017-12-01
228;Tree pangolin;3167;Manis tricuspis;2018-01-01
229;Tree pangolin;4048;Manis tricuspis;2018-02-01
230;Tree pangolin;3199;Manis tricuspis;2018-03-01
231;Tree pangolin;2896;Manis tricuspis;2018-04-01
232;Tree pangolin;3602;Manis tricuspis;2018-05-01
233;Tree pangolin;2594;Manis tricuspis;2018-06-01
234;Tree pangolin;2479;Manis tricuspis;2018-07-01
235;Tree pangolin;2594;Manis tricuspis;2018-08-01
236;Tree pangolin;2596;Manis tricuspis;2018-09-01
237;Tree pangolin;3334;Manis tricuspis;2018-10-01
238;Tree pangolin;2709;Manis tricuspis;2018-11-01
239;Tree pangolin;2488;Manis tricuspis;2018-12-01
240;Tree pangolin;2620;Manis tricuspis;2019-01-01
241;Tree pangolin;3667;Manis tricuspis;2019-02-01
242;Tree pangolin;2865;Manis tricuspis;2019-03-01
243;Tree pangolin;3560;Manis tricuspis;2019-04-01
244;Tree pangolin;3038;Manis tricuspis;2019-05-01
245;Tree pangolin;2523;Manis tricuspis;2019-06-01
246;Tree pangolin;2782;Manis tricuspis;2019-07-01
247;Tree pangolin;2706;Manis tricuspis;2019-08-01
248;Tree pangolin;2789;Manis tricuspis;2019-09-01
249;Tree pangolin;2902;Manis tricuspis;2019-10-01
250;Tree pangolin;2654;Manis tricuspis;2019-11-01
251;Tree pangolin;2561;Manis tricuspis;2019-12-01
252;Tree pangolin;3375;Manis tricuspis;2020-01-01
253;Tree pangolin;5356;Manis tricuspis;2020-02-01
254;Tree pangolin;7549;Manis tricuspis;2020-03-01
255;Tree pangolin;5441;Manis tricuspis;2020-04-01
256;Tree pangolin;3977;Manis tricuspis;2020-05-01
257;Tree pangolin;3258;Manis tricuspis;2020-06-01
258;Tree pangolin;2615;Manis tricuspis;2020-07-01
259;Tree pangolin;2640;Manis tricuspis;2020-08-01
260;Tree pangolin;2536;Manis tricuspis;2020-09-01
261;Tree pangolin;3122;Manis tricuspis;2020-10-01
262;Tree pangolin;2969;Manis tricuspis;2020-11-01
263;Tree pangolin;2474;Manis tricuspis;2020-12-01
264;Northern plains gray langur;367;Semnopithecus entellus;2015-07-01
265;Northern plains gray langur;466;Semnopithecus entellus;2015-08-01
266;Northern plains gray langur;485;Semnopithecus entellus;2015-09-01
267;Northern plains gray langur;471;Semnopithecus entellus;2015-10-01
268;Northern plains gray langur;417;Semnopithecus entellus;2015-11-01
269;Northern plains gray langur;519;Semnopithecus entellus;2015-12-01
270;Northern plains gray langur;497;Semnopithecus entellus;2016-01-01
271;Northern plains gray langur;513;Semnopithecus entellus;2016-02-01
272;Northern plains gray langur;432;Semnopithecus entellus;2016-03-01
273;Northern plains gray langur;872;Semnopithecus entellus;2016-04-01
274;Northern plains gray langur;555;Semnopithecus entellus;2016-05-01
275;Northern plains gray langur;431;Semnopithecus entellus;2016-06-01
276;Northern plains gray langur;496;Semnopithecus entellus;2016-07-01
277;Northern plains gray langur;414;Semnopithecus entellus;2016-08-01
278;Northern plains gray langur;420;Semnopithecus entellus;2016-09-01
279;Northern plains gray langur;477;Semnopithecus entellus;2016-10-01
280;Northern plains gray langur;423;Semnopithecus entellus;2016-11-01
281;Northern plains gray langur;575;Semnopithecus entellus;2016-12-01
282;Northern plains gray langur;512;Semnopithecus entellus;2017-01-01
283;Northern plains gray langur;497;Semnopithecus entellus;2017-02-01
284;Northern plains gray langur;471;Semnopithecus entellus;2017-03-01
285;Northern plains gray langur;446;Semnopithecus entellus;2017-04-01
286;Northern plains gray langur;503;Semnopithecus entellus;2017-05-01
287;Northern plains gray langur;424;Semnopithecus entellus;2017-06-01
288;Northern plains gray langur;492;Semnopithecus entellus;2017-07-01
289;Northern plains gray langur;474;Semnopithecus entellus;2017-08-01
290;Northern plains gray langur;416;Semnopithecus entellus;2017-09-01
291;Northern plains gray langur;513;Semnopithecus entellus;2017-10-01
292;Northern plains gray langur;510;Semnopithecus entellus;2017-11-01
293;Northern plains gray langur;468;Semnopithecus entellus;2017-12-01
294;Northern plains gray langur;617;Semnopithecus entellus;2018-01-01
295;Northern plains gray langur;500;Semnopithecus entellus;2018-02-01
296;Northern plains gray langur;587;Semnopithecus entellus;2018-03-01
297;Northern plains gray langur;531;Semnopithecus entellus;2018-04-01
298;Northern plains gray langur;471;Semnopithecus entellus;2018-05-01
299;Northern plains gray langur;467;Semnopithecus entellus;2018-06-01
300;Northern plains gray langur;444;Semnopithecus entellus;2018-07-01
301;Northern plains gray langur;493;Semnopithecus entellus;2018-08-01
302;Northern plains gray langur;406;Semnopithecus entellus;2018-09-01
303;Northern plains gray langur;512;Semnopithecus entellus;2018-10-01
304;Northern plains gray langur;612;Semnopithecus entellus;2018-11-01
305;Northern plains gray langur;620;Semnopithecus entellus;2018-12-01
306;Northern plains gray langur;669;Semnopithecus entellus;2019-01-01
307;Northern plains gray langur;709;Semnopithecus entellus;2019-02-01
308;Northern plains gray langur;837;Semnopithecus entellus;2019-03-01
309;Northern plains gray langur;705;Semnopithecus entellus;2019-04-01
310;Northern plains gray langur;672;Semnopithecus entellus;2019-05-01
311;Northern plains gray langur;666;Semnopithecus entellus;2019-06-01
312;Northern plains gray langur;723;Semnopithecus entellus;2019-07-01
313;Northern plains gray langur;784;Semnopithecus entellus;2019-08-01
314;Northern plains gray langur;779;Semnopithecus entellus;2019-09-01
315;Northern plains gray langur;772;Semnopithecus entellus;2019-10-01
316;Northern plains gray langur;885;Semnopithecus entellus;2019-11-01
317;Northern plains gray langur;864;Semnopithecus entellus;2019-12-01
318;Northern plains gray langur;928;Semnopithecus entellus;2020-01-01
319;Northern plains gray langur;987;Semnopithecus entellus;2020-02-01
320;Northern plains gray langur;1010;Semnopithecus entellus;2020-03-01
321;Northern plains gray langur;1352;Semnopithecus entellus;2020-04-01
322;Northern plains gray langur;4768;Semnopithecus entellus;2020-05-01
323;Northern plains gray langur;1487;Semnopithecus entellus;2020-06-01
324;Northern plains gray langur;1036;Semnopithecus entellus;2020-07-01
325;Northern plains gray langur;939;Semnopithecus entellus;2020-08-01
326;Northern plains gray langur;948;Semnopithecus entellus;2020-09-01
327;Northern plains gray langur;1041;Semnopithecus entellus;2020-10-01
328;Northern plains gray langur;1168;Semnopithecus entellus;2020-11-01
329;Northern plains gray langur;1126;Semnopithecus entellus;2020-12-01
330;Common ostrich;1391;Struthio camelus;2015-07-01
331;Common ostrich;1140;Struthio camelus;2015-08-01
332;Common ostrich;1025;Struthio camelus;2015-09-01
333;Common ostrich;1056;Struthio camelus;2015-10-01
334;Common ostrich;1008;Struthio camelus;2015-11-01
335;Common ostrich;1266;Struthio camelus;2015-12-01
336;Common ostrich;1306;Struthio camelus;2016-01-01
337;Common ostrich;983;Struthio camelus;2016-02-01
338;Common ostrich;1069;Struthio camelus;2016-03-01
339;Common ostrich;1163;Struthio camelus;2016-04-01
340;Common ostrich;1139;Struthio camelus;2016-05-01
341;Common ostrich;994;Struthio camelus;2016-06-01
342;Common ostrich;848;Struthio camelus;2016-07-01
343;Common ostrich;814;Struthio camelus;2016-08-01
344;Common ostrich;761;Struthio camelus;2016-09-01
345;Common ostrich;751;Struthio camelus;2016-10-01
346;Common ostrich;715;Struthio camelus;2016-11-01
347;Common ostrich;792;Struthio camelus;2016-12-01
348;Common ostrich;884;Struthio camelus;2017-01-01
349;Common ostrich;853;Struthio camelus;2017-02-01
350;Common ostrich;2613;Struthio camelus;2017-03-01
351;Common ostrich;34823;Struthio camelus;2017-04-01
352;Common ostrich;35024;Struthio camelus;2017-05-01
353;Common ostrich;35002;Struthio camelus;2017-06-01
354;Common ostrich;30512;Struthio camelus;2017-07-01
355;Common ostrich;27708;Struthio camelus;2017-08-01
356;Common ostrich;32846;Struthio camelus;2017-09-01
357;Common ostrich;36428;Struthio camelus;2017-10-01
358;Common ostrich;40942;Struthio camelus;2017-11-01
359;Common ostrich;44922;Struthio camelus;2017-12-01
360;Common ostrich;55812;Struthio camelus;2018-01-01
361;Common ostrich;51960;Struthio camelus;2018-02-01
362;Common ostrich;54542;Struthio camelus;2018-03-01
363;Common ostrich;51520;Struthio camelus;2018-04-01
364;Common ostrich;55798;Struthio camelus;2018-05-01
365;Common ostrich;48005;Struthio camelus;2018-06-01
366;Common ostrich;52078;Struthio camelus;2018-07-01
367;Common ostrich;57915;Struthio camelus;2018-08-01
368;Common ostrich;51879;Struthio camelus;2018-09-01
369;Common ostrich;42530;Struthio camelus;2018-10-01
370;Common ostrich;34805;Struthio camelus;2018-11-01
371;Common ostrich;33015;Struthio camelus;2018-12-01
372;Common ostrich;35551;Struthio camelus;2019-01-01
373;Common ostrich;33712;Struthio camelus;2019-02-01
374;Common ostrich;38675;Struthio camelus;2019-03-01
375;Common ostrich;49827;Struthio camelus;2019-04-01
376;Common ostrich;34811;Struthio camelus;2019-05-01
377;Common ostrich;31322;Struthio camelus;2019-06-01
378;Common ostrich;33178;Struthio camelus;2019-07-01
379;Common ostrich;33353;Struthio camelus;2019-08-01
380;Common ostrich;36719;Struthio camelus;2019-09-01
381;Common ostrich;33823;Struthio camelus;2019-10-01
382;Common ostrich;32465;Struthio camelus;2019-11-01
383;Common ostrich;32604;Struthio camelus;2019-12-01
384;Common ostrich;35535;Struthio camelus;2020-01-01
385;Common ostrich;33672;Struthio camelus;2020-02-01
386;Common ostrich;34143;Struthio camelus;2020-03-01
387;Common ostrich;42268;Struthio camelus;2020-04-01
388;Common ostrich;40256;Struthio camelus;2020-05-01
389;Common ostrich;32446;Struthio camelus;2020-06-01
390;Common ostrich;35882;Struthio camelus;2020-07-01
391;Common ostrich;38997;Struthio camelus;2020-08-01
392;Common ostrich;35141;Struthio camelus;2020-09-01
393;Common ostrich;36991;Struthio camelus;2020-10-01
394;Common ostrich;35835;Struthio camelus;2020-11-01
395;Common ostrich;32223;Struthio camelus;2020-12-01
396;Mecistops;395;Crocodylus cataphractus;2015-07-01
397;Mecistops;387;Crocodylus cataphractus;2015-08-01
398;Mecistops;315;Crocodylus cataphractus;2015-09-01
399;Mecistops;374;Crocodylus cataphractus;2015-10-01
400;Mecistops;364;Crocodylus cataphractus;2015-11-01
401;Mecistops;353;Crocodylus cataphractus;2015-12-01
402;Mecistops;436;Crocodylus cataphractus;2016-01-01
403;Mecistops;414;Crocodylus cataphractus;2016-02-01
404;Mecistops;472;Crocodylus cataphractus;2016-03-01
405;Mecistops;522;Crocodylus cataphractus;2016-04-01
406;Mecistops;638;Crocodylus cataphractus;2016-05-01
407;Mecistops;874;Crocodylus cataphractus;2016-06-01
408;Mecistops;510;Crocodylus cataphractus;2016-07-01
409;Mecistops;432;Crocodylus cataphractus;2016-08-01
410;Mecistops;482;Crocodylus cataphractus;2016-09-01
411;Mecistops;450;Crocodylus cataphractus;2016-10-01
412;Mecistops;520;Crocodylus cataphractus;2016-11-01
413;Mecistops;484;Crocodylus cataphractus;2016-12-01
414;Mecistops;639;Crocodylus cataphractus;2017-01-01
415;Mecistops;539;Crocodylus cataphractus;2017-02-01
416;Mecistops;636;Crocodylus cataphractus;2017-03-01
417;Mecistops;674;Crocodylus cataphractus;2017-04-01
418;Mecistops;540;Crocodylus cataphractus;2017-05-01
419;Mecistops;475;Crocodylus cataphractus;2017-06-01
420;Mecistops;507;Crocodylus cataphractus;2017-07-01
421;Mecistops;498;Crocodylus cataphractus;2017-08-01
422;Mecistops;404;Crocodylus cataphractus;2017-09-01
423;Mecistops;436;Crocodylus cataphractus;2017-10-01
424;Mecistops;455;Crocodylus cataphractus;2017-11-01
425;Mecistops;539;Crocodylus cataphractus;2017-12-01
426;Mecistops;508;Crocodylus cataphractus;2018-01-01
427;Mecistops;512;Crocodylus cataphractus;2018-02-01
428;Mecistops;566;Crocodylus cataphractus;2018-03-01
429;Mecistops;526;Crocodylus cataphractus;2018-04-01
430;Mecistops;478;Crocodylus cataphractus;2018-05-01
431;Mecistops;461;Crocodylus cataphractus;2018-06-01
432;Mecistops;530;Crocodylus cataphractus;2018-07-01
433;Mecistops;508;Crocodylus cataphractus;2018-08-01
434;Mecistops;385;Crocodylus cataphractus;2018-09-01
435;Mecistops;1163;Crocodylus cataphractus;2018-10-01
436;Mecistops;1142;Crocodylus cataphractus;2018-11-01
437;Mecistops;1033;Crocodylus cataphractus;2018-12-01
438;Mecistops;1003;Crocodylus cataphractus;2019-01-01
439;Mecistops;990;Crocodylus cataphractus;2019-02-01
440;Mecistops;1052;Crocodylus cataphractus;2019-03-01
441;Mecistops;1076;Crocodylus cataphractus;2019-04-01
442;Mecistops;1937;Crocodylus cataphractus;2019-05-01
443;Mecistops;1096;Crocodylus cataphractus;2019-06-01
444;Mecistops;1211;Crocodylus cataphractus;2019-07-01
445;Mecistops;1183;Crocodylus cataphractus;2019-08-01
446;Mecistops;1037;Crocodylus cataphractus;2019-09-01
447;Mecistops;1147;Crocodylus cataphractus;2019-10-01
448;Mecistops;1110;Crocodylus cataphractus;2019-11-01
449;Mecistops;1105;Crocodylus cataphractus;2019-12-01
450;Mecistops;1122;Crocodylus cataphractus;2020-01-01
451;Mecistops;1184;Crocodylus cataphractus;2020-02-01
452;Mecistops;1239;Crocodylus cataphractus;2020-03-01
453;Mecistops;1447;Crocodylus cataphractus;2020-04-01
454;Mecistops;1551;Crocodylus cataphractus;2020-05-01
455;Mecistops;1205;Crocodylus cataphractus;2020-06-01
456;Mecistops;1377;Crocodylus cataphractus;2020-07-01
457;Mecistops;1361;Crocodylus cataphractus;2020-08-01
458;Mecistops;1342;Crocodylus cataphractus;2020-09-01
459;Mecistops;1393;Crocodylus cataphractus;2020-10-01
460;Mecistops;1217;Crocodylus cataphractus;2020-11-01
461;Mecistops;1384;Crocodylus cataphractus;2020-12-01
462;Galápagos tortoise;18655;Chelonoidis niger;2015-07-01
463;Galápagos tortoise;18738;Chelonoidis niger;2015-08-01
464;Galápagos tortoise;20176;Chelonoidis niger;2015-09-01
465;Galápagos tortoise;25694;Chelonoidis niger;2015-10-01
466;Galápagos tortoise;22549;Chelonoidis niger;2015-11-01
467;Galápagos tortoise;23567;Chelonoidis niger;2015-12-01
468;Galápagos tortoise;24509;Chelonoidis niger;2016-01-01
469;Galápagos tortoise;22086;Chelonoidis niger;2016-02-01
