gl_hits;scientific_name;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution
1060000;Chelonia mydas;1;Animalia;Reptilia;Testudines;Cheloniidae;Chelonia;mydas;I;Albania,Algeria,American Samoa,Angola,Anguilla (United Kingdom),Antigua and Barbuda,Aruba,Australia,Bahamas,Bahrain,Bangladesh,Barbados,Belize,Benin,Bosnia and Herzegovina,Brazil,British Indian Ocean Territory (United Kingdom),British Virgin Islands (United Kingdom),Brunei Darussalam,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands (United Kingdom),Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Democratic Republic of the Congo,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Fiji,France,French Guiana [FR],French Polynesia,French Southern and Antarctic Territories,Gabon,Gambia,Ghana,Greece,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Kenya,Kiribati,Kuwait,Lebanon,Liberia,Libya,Madagascar,Malaysia,Maldives,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Montserrat (United Kingdom),Morocco,Mozambique,Myanmar,Namibia,Nauru,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Nigeria,Niue,Northern Mariana Islands,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Pitcairn Islands (United Kingdom),Portugal,Puerto Rico,Qatar,Réunion,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Syrian Arab Republic,Taiwan, Province of China,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands (United Kingdom),Tuvalu,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States Minor Outlying Islands,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Wallis and Futuna Islands,Western Sahara,Yemen;Bermuda (United Kingdom)
996000;Falco peregrinus;1;Animalia;Aves;Falconiformes;Falconidae;Falco;peregrinus;I;Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda (United Kingdom),Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands (United Kingdom),Central African Republic,Chad,Chile,China,Christmas Island,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana [FR],Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Guam,Guatemala,Guernsey (United Kingdom),Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hong Kong, SAR,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey (United Kingdom),Jersey (United Kingdom),Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat (United Kingdom),Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Netherlands Antilles,New Caledonia,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Pitcairn Islands (United Kingdom),Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and South Sandwich Islands (United Kingdom),Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Taiwan, Province of China,Tajikistan,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands (United Kingdom),Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Yemen,Zambia,Zimbabwe;
883000;Puma concolor;1;Animalia;Mammalia;Carnivora;Felidae;Puma;concolor;I/II;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,United States of America,Uruguay,Venezuela (Bolivarian Republic of);
883000;Puma concolor;1;Animalia;Mammalia;Carnivora;Felidae;Puma;concolor;I/II;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,United States of America,Uruguay,Venezuela (Bolivarian Republic of);
767000;Megaptera novaeangliae;1;Animalia;Mammalia;Cetacea;Balaenopteridae;Megaptera;novaeangliae;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bangladesh,Barbados,Benin,Bermuda (United Kingdom),Bonaire, Saint Eustatius and Saba,Brazil,Cabo Verde,Canada,Chile,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Democratic People's Republic of Korea,Democratic Republic of the Congo,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Falkland Islands (Malvinas),Fiji,France,French Polynesia,French Southern and Antarctic Territories,Gabon,Ghana,Greenland,Grenada,Guadeloupe,Honduras,Iceland,India,Indonesia,Iraq,Ireland,Japan,Kenya,Madagascar,Malaysia,Malta,Marshall Islands,Martinique,Mauritania,Mayotte,Mexico,Morocco,Mozambique,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Pitcairn Islands (United Kingdom),Poland,Portugal,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Solomon Islands,South Africa,South Georgia and South Sandwich Islands (United Kingdom),Spain,Sri Lanka,Svalbard and Jan Mayen Islands,Taiwan, Province of China,Togo,Tonga,Trinidad and Tobago,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam;
753000;Elephas maximus;1;Animalia;Mammalia;Proboscidea;Elephantidae;Elephas;maximus;I;Bangladesh,Bhutan,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Sri Lanka,Thailand,Viet Nam;
752000;Lutra lutra;1;Animalia;Mammalia;Carnivora;Mustelidae;Lutra;lutra;I;Afghanistan,Albania,Algeria,Andorra,Armenia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Bulgaria,Cambodia,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong, SAR,Hungary,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jordan,Kazakhstan,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lithuania,Luxembourg,Mongolia,Montenegro,Morocco,Myanmar,Nepal,Netherlands,North Macedonia,Norway,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Serbia,Slovakia,Slovenia,Spain,Sri Lanka,Sweden,Syrian Arab Republic,Taiwan, Province of China,Tajikistan,Thailand,Tunisia,Turkey,Turkmenistan,Ukraine,United Kingdom of Great Britain and Northern Ireland,Uzbekistan,Viet Nam;Liechtenstein,Switzerland
705000;Ailuropoda melanoleuca;1;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;I;China;
692000;Acinonyx jubatus;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
692000;Haliaeetus albicilla;1;Animalia;Aves;Falconiformes;Accipitridae;Haliaeetus;albicilla;I;Afghanistan,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Bulgaria,China,Croatia,Cyprus,Czech Republic,Democratic People's Republic of Korea,Denmark,Egypt,Estonia,Faroe Islands,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,Iceland,India,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Malta,Mongolia,Montenegro,Myanmar,Nepal,Netherlands,North Macedonia,Norway,Pakistan,Poland,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Svalbard and Jan Mayen Islands,Sweden,Switzerland,Syrian Arab Republic,Taiwan, Province of China,Tajikistan,Thailand,Tunisia,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan;Algeria,Portugal
678000;Ara macao;1;Animalia;Aves;Psittaciformes;Psittacidae;Ara;macao;I;Belize,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Peru,Suriname,Venezuela (Bolivarian Republic of);El Salvador
622000;Struthio camelus;1;Animalia;Aves;Struthioniformes;Struthionidae;Struthio;camelus;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Djibouti,Egypt,Eritrea,Ethiopia,Kenya,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Algeria,Bahrain,Burkina Faso,Iraq,Israel,Jordan,Kuwait,Libya,Morocco,Oman,Saudi Arabia,Tunisia
482000;Pongo pygmaeus;1;Animalia;Mammalia;Primates;Hominidae;Pongo;pygmaeus;I;Indonesia,Malaysia;Brunei Darussalam
444000;Balaenoptera musculus;1;Animalia;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;I;Angola,Antarctica,Argentina,Australia,Bangladesh,Belgium,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Chile,Costa Rica,Democratic People's Republic of Korea,Denmark,Ecuador,El Salvador,Falkland Islands (Malvinas),Finland,France,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Greece,Greenland,Honduras,Iceland,India,Indonesia,Iraq,Ireland,Italy,Japan,Kenya,Kuwait,Maldives,Mauritania,Mexico,Morocco,Mozambique,Myanmar,Namibia,New Caledonia,New Zealand,Nicaragua,Norway,Oman,Pakistan,Panama,Peru,Portugal,Republic of Korea,Russian Federation,Somalia,South Africa,South Georgia and South Sandwich Islands (United Kingdom),Spain,Sri Lanka,Svalbard and Jan Mayen Islands,Taiwan, Province of China,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Viet Nam;
430000;Eretmochelys imbricata;1;Animalia;Reptilia;Testudines;Cheloniidae;Eretmochelys;imbricata;I;Albania,American Samoa,Anguilla (United Kingdom),Antigua and Barbuda,Aruba,Australia,Bahamas,Bahrain,Bangladesh,Barbados,Belize,Benin,Bermuda (United Kingdom),Brazil,British Indian Ocean Territory (United Kingdom),British Virgin Islands (United Kingdom),Brunei Darussalam,Cabo Verde,Cambodia,Cameroon,Cayman Islands (United Kingdom),China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Cuba,Curaçao,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Fiji,France,French Guiana [FR],French Polynesia,French Southern and Antarctic Territories,Gabon,Gambia,Ghana,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kiribati,Kuwait,Liberia,Macau,Madagascar,Malaysia,Maldives,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Montserrat (United Kingdom),Mozambique,Myanmar,Namibia,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Nigeria,Northern Mariana Islands,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Pitcairn Islands (United Kingdom),Portugal,Puerto Rico,Qatar,Réunion,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Sint Maarten,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Taiwan, Province of China,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),Tuvalu,United Arab Emirates,United Republic of Tanzania,United States of America,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Wallis and Futuna Islands,Yemen;
416000;Ailurus fulgens;1;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;I;Bhutan,China,India,Myanmar,Nepal;
366000;Lemur catta;1;Animalia;Mammalia;Primates;Lemuridae;Lemur;catta;I;Madagascar;
352000;Pan paniscus;1;Animalia;Mammalia;Primates;Hominidae;Pan;paniscus;I;Democratic Republic of the Congo;
327000;Ceratotherium simum;1;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Ceratotherium;simum;I;Democratic Republic of the Congo,South Africa,South Sudan;Angola,Central African Republic,Chad,Eswatini,Mozambique,Namibia,Uganda,Zimbabwe
326000;Dermochelys coriacea;1;Animalia;Reptilia;Testudines;Dermochelyidae;Dermochelys;coriacea;I;Albania,Algeria,American Samoa,Angola,Anguilla (United Kingdom),Antigua and Barbuda,Argentina,Aruba,Australia,Bahamas,Bangladesh,Barbados,Belgium,Belize,Benin,Brazil,British Virgin Islands (United Kingdom),Brunei Darussalam,Cabo Verde,Cambodia,Cameroon,Canada,Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Fiji,France,French Guiana [FR],French Polynesia,Gabon,Gambia,Ghana,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kiribati,Kuwait,Lebanon,Liberia,Libya,Madagascar,Malaysia,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Montenegro,Montserrat (United Kingdom),Morocco,Mozambique,Myanmar,Namibia,Nauru,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Portugal,Puerto Rico,Qatar,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Sint Maarten,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Syrian Arab Republic,Taiwan, Province of China,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands (United Kingdom),Tuvalu,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Western Sahara,Yemen;
324000;Varanus komodoensis;1;Animalia;Reptilia;Sauria;Varanidae;Varanus;komodoensis;I;Indonesia;
323000;Physeter macrocephalus;1;Animalia;Mammalia;Cetacea;Physeteridae;Physeter;macrocephalus;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bahamas,Belgium,Belize,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,Eritrea,Falkland Islands (Malvinas),Fiji,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Honduras,Iceland,India,Indonesia,Ireland,Italy,Japan,Kenya,Liberia,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Norway,Oman,Panama,Peru,Philippines,Portugal,Puerto Rico,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Sao Tome and Principe,Seychelles,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Thailand,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Yemen;
